# freq, amb_real amb_imag hot_real hot_imag open_real open_imag short_real short_imag lna_real lna_imag
5.000000000000e+01 -1.804097580573e-03 1.665966659545e-04 3.442196530205e-03 2.815725757807e-03 3.701262061193e-01 8.574867903405e-01 -3.807529412974e-01 -8.701196740744e-01 5.250276412229e-03 7.894332525437e-03
5.004882800000e+01 -1.803797266305e-03 1.661056983480e-04 3.444717020886e-03 2.815417876097e-03 3.769052884106e-01 8.545133614551e-01 -3.878283398782e-01 -8.669379500550e-01 5.279193929247e-03 7.861059115003e-03
5.009765600000e+01 -1.803503165037e-03 1.656483927601e-04 3.447214320804e-03 2.815169993431e-03 3.836611885541e-01 8.514870500137e-01 -3.948761660074e-01 -8.636980481946e-01 5.307772795156e-03 7.827722261386e-03
5.014648400000e+01 -1.803215040267e-03 1.652235229705e-04 3.449689365062e-03 2.814979781440e-03 3.903935014970e-01 8.484080062840e-01 -4.018959467786e-01 -8.604002426681e-01 5.336015754675e-03 7.794323490453e-03
5.019531200000e+01 -1.802932660600e-03 1.648298949580e-04 3.452143062849e-03 2.814844973333e-03 3.971018226915e-01 8.452763840920e-01 -4.088872120432e-01 -8.570448108397e-01 5.363925521974e-03 7.760864316144e-03
5.024414100000e+01 -1.802655794091e-03 1.644663391835e-04 3.454576347512e-03 2.814763361673e-03 4.037858847718e-01 8.420922750749e-01 -4.158496367116e-01 -8.536319627673e-01 5.391505342585e-03 7.727345553500e-03
5.029296900000e+01 -1.802384230771e-03 1.641317391840e-04 3.456989978075e-03 2.814732802904e-03 4.104450105457e-01 8.388559705893e-01 -4.227824710073e-01 -8.501621219368e-01 5.418756741317e-03 7.693770065746e-03
5.034179700000e+01 -1.802117748582e-03 1.638249863735e-04 3.459384838644e-03 2.814751206329e-03 4.170789343724e-01 8.355675704472e-01 -4.296853960229e-01 -8.466355058736e-01 5.445682911558e-03 7.660138645608e-03
5.039062500000e+01 -1.801856136126e-03 1.635450098562e-04 3.461761739106e-03 2.814816540782e-03 4.236872541461e-01 8.322272426785e-01 -4.365579527776e-01 -8.430524045340e-01 5.472286449706e-03 7.626452760013e-03
5.043945300000e+01 -1.801599186889e-03 1.632907681252e-04 3.464121465593e-03 2.814926831380e-03 4.302695684760e-01 8.288351588543e-01 -4.433996851179e-01 -8.394131109805e-01 5.498569923779e-03 7.592713864301e-03
5.048828100000e+01 -1.801346699196e-03 1.630612485170e-04 3.466464780908e-03 2.815080158497e-03 4.368254767276e-01 8.253914940809e-01 -4.502101397321e-01 -8.357179213654e-01 5.524535873840e-03 7.558923402296e-03
5.053710900000e+01 -1.801098476165e-03 1.628554666697e-04 3.468792424942e-03 2.815274656738e-03 4.433545790636e-01 8.218964269940e-01 -4.569888661646e-01 -8.319671349135e-01 5.550186812400e-03 7.525082806365e-03
5.058593800000e+01 -1.800854320697e-03 1.626724624674e-04 3.471105162309e-03 2.815508519108e-03 4.498566093628e-01 8.183500666015e-01 -4.637355546682e-01 -8.281609753924e-01 5.575525740570e-03 7.491192802945e-03
5.063476600000e+01 -1.800614055350e-03 1.625113140321e-04 3.473403593612e-03 2.815779976046e-03 4.563309031791e-01 8.147527438383e-01 -4.704494841973e-01 -8.242999040240e-01 5.600554079137e-03 7.457256189825e-03
5.068359400000e+01 -1.800377492290e-03 1.623711147400e-04 3.475688440017e-03 2.816087323218e-03 4.627771967495e-01 8.111045757845e-01 -4.771303514547e-01 -8.203841517651e-01 5.625274782470e-03 7.423273671836e-03
5.073242200000e+01 -1.800144453325e-03 1.622509881384e-04 3.477960353916e-03 2.816428902143e-03 4.691950938304e-01 8.074057551257e-01 -4.837777175587e-01 -8.164140299603e-01 5.649690256837e-03 7.389246636173e-03
5.078125000000e+01 -1.799914764814e-03 1.621500834535e-04 3.480219966847e-03 2.816803103612e-03 4.755841991760e-01 8.036564780398e-01 -4.903911465587e-01 -8.123898529403e-01 5.673802882900e-03 7.355176458897e-03
5.083007800000e+01 -1.799688257616e-03 1.620675750830e-04 3.482467889894e-03 2.817208366727e-03 4.819441185780e-01 7.998569441888e-01 -4.969702054507e-01 -8.083119380048e-01 5.697615016095e-03 7.321064504990e-03
5.087890600000e+01 -1.799464767043e-03 1.620026620930e-04 3.484704714090e-03 2.817643177943e-03 4.882744589046e-01 7.960073567087e-01 -5.035144641925e-01 -8.041806054046e-01 5.721128986991e-03 7.286912128427e-03
5.092773400000e+01 -1.799244132806e-03 1.619545677208e-04 3.486931010807e-03 2.818106070131e-03 4.945748281386e-01 7.921079222003e-01 -5.100234957196e-01 -7.999961783237e-01 5.744347101656e-03 7.252720672227e-03
5.097656200000e+01 -1.799026198970e-03 1.619225388839e-04 3.489147332150e-03 2.818595621641e-03 5.008448354162e-01 7.881588507185e-01 -5.164968759608e-01 -7.957589828608e-01 5.767271642006e-03 7.218491468517e-03
5.102539100000e+01 -1.798810809508e-03 1.619058455040e-04 3.491354256452e-03 2.819110466172e-03 5.070842185277e-01 7.841602733675e-01 -5.229343153180e-01 -7.914692596251e-01 5.789905326720e-03 7.184225136469e-03
5.107421900000e+01 -1.798597825852e-03 1.619037810780e-04 3.493552208061e-03 2.819649249167e-03 5.132923334625e-01 7.801125708605e-01 -5.293351320739e-01 -7.871275162002e-01 5.812249463438e-03 7.149924390152e-03
5.112304700000e+01 -1.798387100372e-03 1.619156601738e-04 3.495741728891e-03 2.820210690206e-03 5.194689211401e-01 7.760158821652e-01 -5.356990434391e-01 -7.827340000040e-01 5.834306730208e-03 7.115589827981e-03
5.117187500000e+01 -1.798178494019e-03 1.619408196254e-04 3.497923297833e-03 2.820793540430e-03 5.256135956868e-01 7.718704310415e-01 -5.420256374739e-01 -7.782890486114e-01 5.856079315787e-03 7.081222739109e-03
5.122070300000e+01 -1.797971871838e-03 1.619786175733e-04 3.500097376416e-03 2.821396591945e-03 5.317259725693e-01 7.676764446461e-01 -5.483145053113e-01 -7.737930024196e-01 5.877569386476e-03 7.046824402092e-03
5.126953100000e+01 -1.797767102914e-03 1.620284330057e-04 3.502264409185e-03 2.822018676949e-03 5.378056686307e-01 7.634341535189e-01 -5.545652411736e-01 -7.692462046287e-01 5.898779086440e-03 7.012396084944e-03
5.131835900000e+01 -1.797564060319e-03 1.620896653073e-04 3.504424824060e-03 2.822658666870e-03 5.438523021266e-01 7.591437915701e-01 -5.607774423880e-01 -7.646490012222e-01 5.919710538029e-03 6.977939045196e-03
5.136718800000e+01 -1.797362616949e-03 1.621617353950e-04 3.506579076765e-03 2.823315485130e-03 5.498656155665e-01 7.548055067322e-01 -5.669508354308e-01 -7.600016452617e-01 5.940366262296e-03 6.943453823434e-03
