# freq, amb_real amb_imag hot_real hot_imag open_real open_imag short_real short_imag lna_real lna_imag rig_s11_real rig_s11_imag rig_s12_real rig_s12_imag rig_s22_real rig_s22_imag
4.000244100000e+01 -2.393823440263e-01 -2.367269215607e-01 -1.313951742047e-01 -2.844409511680e-02 -1.191732931792e+00 -3.556788402965e-01 5.441350528192e-01 -2.381918519238e-01 -4.323220992926e-03 2.263331812030e-02 1.130657677143e+00 -2.161420134283e-01 1.040241849017e-01 -4.682955526085e-01 -4.813428615412e-01 1.271079545321e+00
4.005127000000e+01 -2.368871295774e-01 -2.341182542258e-01 -1.297153751462e-01 -2.838256082825e-02 -1.194169607987e+00 -3.323087256296e-01 5.436821340822e-01 -2.438304596489e-01 -4.332234884645e-03 2.265611573211e-02 1.118440440021e+00 -2.128749602235e-01 1.126517848212e-01 -4.652774482786e-01 -4.789786658808e-01 1.257239053062e+00
4.010009800000e+01 -2.343613424265e-01 -2.314841730746e-01 -1.280215814138e-01 -2.831385854708e-02 -1.196130640315e+00 -3.090035574909e-01 5.432451810785e-01 -2.494373192669e-01 -4.340924210220e-03 2.267865495493e-02 1.106098500157e+00 -2.095971194448e-01 1.213848348435e-01 -4.622504712583e-01 -4.765026015211e-01 1.243260159253e+00
4.014892600000e+01 -2.318062428288e-01 -2.288260073869e-01 -1.263146486833e-01 -2.823806564908e-02 -1.197622003401e+00 -2.857728622784e-01 5.428247440478e-01 -2.550184342615e-01 -4.349287923602e-03 2.270093483284e-02 1.093638097213e+00 -2.063100944544e-01 1.302190924160e-01 -4.592156038900e-01 -4.739164487422e-01 1.229149878644e+00
4.019775400000e+01 -2.292231493661e-01 -2.261451422005e-01 -1.245954668253e-01 -2.815526478783e-02 -1.198649818136e+00 -2.626263312170e-01 5.424210547710e-01 -2.605796939602e-01 -4.357324840128e-03 2.272295397093e-02 1.081065735388e+00 -2.030155447066e-01 1.391501085820e-01 -4.561738907975e-01 -4.712221002171e-01 1.214915525110e+00
4.024658200000e+01 -2.266133870960e-01 -2.234429640273e-01 -1.228649249269e-01 -2.806554261143e-02 -1.199220391360e+00 -2.395733381960e-01 5.420340185780e-01 -2.661269737141e-01 -4.365033824714e-03 2.274471100489e-02 1.068387929228e+00 -1.997151176453e-01 1.481734072298e-01 -4.531263764244e-01 -4.684215117590e-01 1.200564423720e+00
4.029541000000e+01 -2.239782864804e-01 -2.207208597332e-01 -1.211239105732e-01 -2.796898966232e-02 -1.199340200801e+00 -2.166229375186e-01 5.416632164970e-01 -2.716661193681e-01 -4.372413792106e-03 2.276620460116e-02 1.055611198333e+00 -1.964104474092e-01 1.572844887687e-01 -4.500741042855e-01 -4.655167002736e-01 1.186103904827e+00
4.034423800000e+01 -2.213191823154e-01 -2.179802154247e-01 -1.193733091355e-01 -2.786570027428e-02 -1.199015880082e+00 -1.937838623538e-01 5.413079081028e-01 -2.772029318946e-01 -4.379463707136e-03 2.278743345712e-02 1.042742062117e+00 -1.931031535611e-01 1.664788338041e-01 -4.470181162221e-01 -4.625097416601e-01 1.171541298194e+00
4.039306600000e+01 -2.186374126656e-01 -2.152224153466e-01 -1.176140030679e-01 -2.775577246667e-02 -1.198254203855e+00 -1.710645238790e-01 5.409670350532e-01 -2.827431522223e-01 -4.386182584950e-03 2.280839630113e-02 1.029787034599e+00 -1.897948398428e-01 1.757519068095e-01 -4.439594516617e-01 -4.594027686625e-01 1.156883927170e+00
4.044189500000e+01 -2.159342622322e-01 -2.124487838347e-01 -1.158468349474e-01 -2.763930538449e-02 -1.197062044306e+00 -1.484725497883e-01 5.406392187108e-01 -2.882925600713e-01 -4.392569618636e-03 2.282909231381e-02 1.016752351531e+00 -1.864870252297e-01 1.850993519514e-01 -4.408990841975e-01 -4.561979020541e-01 1.142138800093e+00
